id,file,name,year,doi,disease,transmission_1,stochasticity,model_1,model_2,behavior_1,behavior_2,behavior_3,behavior_4
new_001,scholar_49,analyzing spatial diffusion and vaccination strategies in malaria epidemics: a numerical approach,2025,10.1007/s40808-025-02315-0,malaria,vector,,,,,,,
new_002,scholar_50,implicit versus explicit vector management strategies in models for vector-borne disease epidemiology,2022,10.1007/s00285-022-01742-2,general,vector,deterministic,ode,,control,,,
new_003,scholar_51,modeling the impact of cross-border migration on malaria dynamics in south africa: a reaction-diffusion approach,2025,preprint,malaria,vector,deterministic,ode,pde,movement,,,
new_004,scholar_52,fractional modeling of vector-borne disease dynamics using abc operators and neural networks,2025,10.3934/math.2025710,general,vector,,fde,,no,,,
new_005,scholar_53,vector-borne epidemics driven by human mobility,2020,10.1103/physrevresearch.2.013312,general,vector,stochastic,markov,network,movement,,,
new_006,scholar_54,age-structured malaria model with temperature-dependent dynamics and optimal control analysis within a partial differential equation framework,2025,10.1371/journal.pone.0330158,malaria,vector,deterministic,pde,,vaccination,control,protection,
new_007,scholar_55,"transmission dynamics of a general temporal-spatial vector-host epidemic model with an application to the dengue fever in guangdong, china.",2023,10.3934/dcdsb.2022069,general,vector,deterministic,pde,,control,treatment,,
new_008,scholar_56,"spatiotemporal seiqr epidemic modeling with optimal control for vaccination, treatment, and social measures",2025,10.48550/arxiv.2507.09328,general,vector,deterministic,pde,,movement,protection,vaccionation,control/treatment
new_009,scholar_57,complex dynamics of a host-vector dynamics of dengue infection incorporating optimal control strategy with cost-effectiveness: a fractional-order derivative method,2025,10.1007/s10958-025-07608-4,dengue,vector,,,,,,,-
new_010,scholar_58,modeling the effects of human awareness and use of insecticides on the spread of human african trypanosomiasis: a fractional-order model approach,2025,10.3390/appliedmath5030127,trypanosomiasis,vector,deterministic,fde,,information,protection,control,
new_011,scholar_59,study on viral transmission impact on human population using fractional order zika virus model,2023,10.31763/ijrcs.v3i4.1105,zika,vector,deterministic,fde,,control,information,,
new_012,scholar_60,a new model of dengue fever in terms of fractional derivative,2020,10.3934/mbe.2020285,dengue,vector,deterministic,fde,,vaccination,memory,,
new_013,scholar_61,modeling zika virus disease dynamics with control strategies,2024,10.3390/informatics11040085,zika,vector,deterministic,fde,,protection,information,,
new_014,scholar_62,analysis of fractional-order dynamics of dengue infection with non-linear incidence functions,2022,10.1177/01423312221085049,dengue,vector,deterministic,fde,,vaccination,memory,,
new_015,scholar_63,the impact of media awareness on a fractional-order seir epidemic model with optimal treatment and vaccination,2023,10.1140/epjs/s11734-023-00910-9,,human,,,,,,,
new_016,scholar_64,"modeling dengue with saturated incidence, vaccination, and treatment rates: numerical insights and nonlinear behavior",2025,10.1007/s11071-025-11552-y,,vector,,,,,,,
new_017,scholar_65,an agent-based model to investigate behavior impacts on vector-borne disease spread,2017,10.1109/wsc.2017.8248007,general,vector,,abm,,memory,,,
new_018,scholar_66,towards a hybrid agent-based model for mosquito borne disease,2014,no tiene,general,vector,,abm,network,movement,,,
